station,departures,arrivals,net_outflow,net_outflow_pct
Morgan Ave & 14th Pl,3967,4068,-101,-1.3
California Ave & Milwaukee Ave,9550,9653,-103,-0.5
Clarendon Ave & Leland Ave,5707,5810,-103,-0.9
Leavitt St & Armitage Ave,5112,5215,-103,-1.0
Morgan St & 31st St,3329,3432,-103,-1.5
Mies van der Rohe Way & Chestnut St,13164,13270,-106,-0.4
Hermitage Ave & Polk St,5721,5829,-108,-0.9
Loomis St & Jackson Blvd,5598,5707,-109,-1.0
Broadway & Wilson Ave,10216,10329,-113,-0.6
Dearborn Pkwy & Delaware Pl,20155,20272,-117,-0.3
State St & Randolph St,14893,15010,-117,-0.4
Leavitt St & North Ave,4246,4375,-129,-1.5
Sheridan Rd & Loyola Ave,3731,3864,-133,-1.8
Benson Ave & Church St,4699,4835,-136,-1.4
Ravenswood Ave & Berteau Ave,3683,3819,-136,-1.8
Western Ave & Roscoe St,2440,2576,-136,-2.7
California Ave & Montrose Ave,3171,3309,-138,-2.1
Lincoln Ave & Sunnyside Ave,5025,5163,-138,-1.4
New St & Illinois St,20347,20489,-142,-0.3
Sedgwick St & Webster Ave,11694,11838,-144,-0.6
Wood St & Hubbard St,3959,4104,-145,-1.8
Clarendon Ave & Junior Ter,9597,9744,-147,-0.8
Lincoln Ave & Belle Plaine Ave,4275,4422,-147,-1.7
Dayton St & North Ave,10434,10583,-149,-0.7
Stave St & Armitage Ave,4088,4237,-149,-1.8
McClurg Ct & Ohio St,19824,19975,-151,-0.4
Rockwell St & Eastwood Ave,2711,2862,-151,-2.7
Emerald Ave & 31st St,4709,4861,-152,-1.6
Halsted St & Willow St,8643,8800,-157,-0.9
Calumet Ave & 35th St,2483,2643,-160,-3.1
Michigan Ave & Madison St,9930,10091,-161,-0.8
Broadway & Sheridan Rd,11728,11895,-167,-0.7
Elizabeth St & Randolph St,10005,10173,-168,-0.8
Franklin St & Illinois St,13057,13227,-170,-0.6
Larrabee St & Armitage Ave,6955,7127,-172,-1.2
Kedzie Ave & Milwaukee Ave,8447,8622,-175,-1.0
Clark St & Wrightwood Ave,17400,17576,-176,-0.5
Southport Ave & Waveland Ave,14724,14900,-176,-0.6
Wentworth Ave & 33rd St,2862,3041,-179,-3.0
Lakefront Trail & Wilson Ave,6740,6920,-180,-1.3
Sheffield Ave & Wellington Ave,12885,13068,-183,-0.7
Lincoln Ave & Waveland Ave,3720,3907,-187,-2.5
Clinton St & Washington Blvd,30963,31151,-188,-0.3
Damen Ave & Charleston St,4526,4719,-193,-2.1
Campbell Ave & Montrose Ave,2890,3086,-196,-3.3
Damen Ave & Clybourn Ave,3854,4051,-197,-2.5
Lake Park Ave & 56th St,8800,8997,-197,-1.1
Aberdeen St & Randolph St,10594,10797,-203,-0.9
Lincoln Ave & Fullerton Ave,16221,16426,-205,-0.6
Wood St & Chicago Ave,6506,6719,-213,-1.6
California Ave & Altgeld St,2975,3193,-218,-3.5
Paulina Ave & North Ave,6103,6322,-219,-1.8
University Ave & 59th St,5781,6000,-219,-1.9
Lincoln Ave & Addison St,3273,3493,-220,-3.3
Laflin St & Cullerton St,2455,2678,-223,-4.3
Broadway & Granville Ave,5707,5931,-224,-1.9
Indiana Ave & 31st St,3962,4186,-224,-2.7
Shields Ave & 28th Pl,2668,2893,-225,-4.0
Rush St & Hubbard St,9818,10044,-226,-1.1
Seeley Ave & Roscoe St,4748,4977,-229,-2.4
Throop St & Taylor St,7146,7375,-229,-1.6
Halsted St & Roscoe St,14199,14430,-231,-0.8
Paulina St & 18th St,3772,4003,-231,-3.0
Milwaukee Ave & Wabansia Ave,10246,10480,-234,-1.1
Michigan Ave & Oak St,36024,36261,-237,-0.3
Talman Ave & Addison St,2654,2893,-239,-4.3
Sheffield Ave & Wrightwood Ave,12705,12948,-243,-0.9
Rush St & Superior St,13316,13560,-244,-0.9
Wabash Ave & Wacker Pl,12336,12580,-244,-1.0
Ashland Ave & Grand Ave,4562,4813,-251,-2.7
Halsted St & Maxwell St,9505,9762,-257,-1.3
Lakeview Ave & Fullerton Pkwy,15060,15317,-257,-0.8
Sangamon St & Washington Blvd,7439,7703,-264,-1.7
Ashland Ave & Chicago Ave,5930,6200,-270,-2.2
LaSalle St & Jackson Blvd,15029,15300,-271,-0.9
State St & 33rd St,14324,14595,-271,-0.9
Drexel Ave & 60th St,4069,4343,-274,-3.3
Morgan St & 18th St,4735,5009,-274,-2.8
Michigan Ave & Lake St,19810,20085,-275,-0.7
Fort Dearborn Dr & 31st St*,4692,4970,-278,-2.9
Ashland Ave & Wrightwood Ave,4749,5028,-279,-2.9
Clark St & Elmdale Ave,2960,3240,-280,-4.5
Ellis Ave & 55th St,17851,18136,-285,-0.8
Greenview Ave & Diversey Pkwy,5184,5469,-285,-2.7
Sheridan Rd & Montrose Ave,11648,11937,-289,-1.2
Winthrop Ave & Lawrence Ave,5289,5579,-290,-2.7
Michigan Ave & Pearson St,9606,9897,-291,-1.5
Damen Ave & Cortland St,9713,10008,-295,-1.5
Broadway & Thorndale Ave,5640,5947,-307,-2.6
State St & Chicago Ave,23670,23978,-308,-0.6
Elston Ave & Wabansia Ave,2983,3296,-313,-5.0
Racine Ave & Wrightwood Ave,6151,6472,-321,-2.5
Lincoln Ave & Roscoe St*,7123,7449,-326,-2.2
University Ave & 57th St,22716,23043,-327,-0.7
Clark St & North Ave,10774,11111,-337,-1.5
DuSable Lake Shore Dr & Wellington Ave,14732,15071,-339,-1.1
Halsted St & Clybourn Ave,17054,17394,-340,-1.0
Winchester Ave & Elston Ave,2555,2896,-341,-6.3
Damen Ave & Division St,7300,7654,-354,-2.4
DuSable Lake Shore Dr & Belmont Ave,15485,15843,-358,-1.1
Lakefront Trail & Bryn Mawr Ave,11257,11616,-359,-1.6
Logan Blvd & Elston Ave,4112,4472,-360,-4.2
Wilton Ave & Belmont Ave,20372,20737,-365,-0.9
State St & 35th St,4671,5051,-380,-3.9
California Ave & Cortez St,4394,4775,-381,-4.2
Mies van der Rohe Way & Chicago Ave,12400,12782,-382,-1.5
St. Clair St & Erie St,15753,16141,-388,-1.2
Wells St & Concord Ln,27841,28234,-393,-0.7
Franklin St & Lake St,14235,14631,-396,-1.4
Ashland Ave & Blackhawk St,6471,6869,-398,-3.0
Damen Ave & Wellington Ave,3929,4327,-398,-4.8
Burling St & Diversey Pkwy,10116,10522,-406,-2.0
Clark St & Bryn Mawr Ave,6262,6671,-409,-3.2
Clinton St & Jackson Blvd,23950,24360,-410,-0.8
Ashland Ave & 13th St,2950,3364,-414,-6.6
Michigan Ave & Washington St,22084,22501,-417,-0.9
Broadway & Ridge Ave,4443,4861,-418,-4.5
Clifton Ave & Armitage Ave,9592,10010,-418,-2.1
Southport Ave & Roscoe St,14081,14506,-425,-1.5
Ashland Ave & Wellington Ave,5782,6212,-430,-3.6
Green St & Madison St,17938,18372,-434,-1.2
State St & Kinzie St,13265,13699,-434,-1.6
Leavitt St & Chicago Ave,4169,4604,-435,-5.0
Spaulding Ave & Armitage Ave,4304,4743,-439,-4.9
California Ave & Division St,2923,3363,-440,-7.0
Sheffield Ave & Willow St,7841,8292,-451,-2.8
Broadway & Waveland Ave,16664,17116,-452,-1.3
Southport Ave & Wrightwood Ave,8823,9279,-456,-2.5
Woodlawn Ave & 58th St,7726,8187,-461,-2.9
Damen Ave & Cullerton St,2290,2754,-464,-9.2
Clark St & Wellington Ave,11888,12354,-466,-1.9
Stockton Dr & Wrightwood Ave,13036,13502,-466,-1.8
Green St & Randolph St*,7961,8435,-474,-2.9
Larrabee St & Webster Ave,15356,15838,-482,-1.5
Western Ave & Walton St,5253,5737,-484,-4.4
Michigan Ave & Jackson Blvd,11831,12316,-485,-2.0
Clinton St & Madison St,29563,30050,-487,-0.8
Clark St & Armitage Ave,22165,22657,-492,-1.1
Damen Ave & Melrose Ave,3229,3724,-495,-7.1
Wentworth Ave & Cermak Rd,4177,4682,-505,-5.7
Blue Island Ave & 18th St,4642,5155,-513,-5.2
Wilton Ave & Diversey Pkwy,9779,10292,-513,-2.6
Honore St & Division St,9984,10504,-520,-2.5
Southport Ave & Clybourn Ave,6095,6644,-549,-4.3
